item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
Mangoes,Green Beans,Cucumber,Barley,Kale,Corn,Mushrooms,Butter,Potato,Lemon,Butter Milk
Relish,Pancake Mix,Mayonnaise,nan,Sugar,Coffee,Cucumber,Cantaloupe,Whipped Cream,Spinach,Mangoes
Soy Sauce,Honeydew,Frozen Shrimp,nan,nan,Whipped Cream,nan,Juice,Eggs,Maple Syrup,Asparagus
Soda,Strawberries,Olive Oil,Mustard,Butter Milk,Heavy Cream,Half and Half,Banana,Nuts,Fish,Bread
Nectarines,Beans,Yogurt,Milk,Frozen Shrimp,Apple,nan,Dried Fruit,nan,nan,Pasta
Chips,Honey,Heavy Cream,Milk,Canned Tuna,nan,Dried Fruit,nan,Beef,Honeydew,Celery
Barley,Onion,Pancake Mix,Milk,Mangoes,Cucumber,Spinach,Broccoli,Beef,Cornstarch,Powdered Sugar
Peas,Cereal,Watermelon,Salsa,Honeydew,Salsa,nan,Oats,Vinegar,Ice Cream,Flour
Nectarines,Yeast,Plums,Radishes,Broccoli,Breadcrumbs,Juice,nan,Broccoli,Pasta,Tea
Baking Soda,Frozen Fruits,Cottage Cheese,Mustard,Beef,Tea,Cereal,Asparagus,Olive Oil,nan,Asparagus
Broccoli,Pickles,Celery,nan,Maple Syrup,nan,Pasta,Bread,Frozen Fish,Garlic,Beef
Rice,Vinegar,Whipped Cream,Frozen Fish,Canned Tuna,Banana,Spaghetti Sauce,Honey,Sugar,Waffles,Chili Pepper
Pepper,Crackers,Orange,Lime,nan,Quinoa,Chia Seeds,Fish,Chips,Eggplant,Nectarines
Frozen Vegetables,nan,Canned Soup,Flour,Beef,Frozen Fruits,Jam,nan,Coconut Milk,Pineapple,Cornstarch
Powdered Sugar,nan,Tea,Mushrooms,Nuts,Flour,Peanut Butter,Cornstarch,Corn,Jam,Cornstarch
Canned Tomatoes,Coconut Milk,Cottage Cheese,Heavy Cream,Soda,Crackers,nan,Heavy Cream,Radishes,Eggplant,Banana
Fish,Peanut Butter,Peaches,Beans,Quinoa,Coconut Milk,Pancake Mix,Frozen Vegetables,nan,Breadcrumbs,Ice Cream
Flour,nan,Cereal,Fish,Chia Seeds,Bell Pepper,Heavy Cream,Flour,Soy Sauce,Cornstarch,Cereal
Barley,Honey,Potato,Jam,Asparagus,Eggplant,Bell Pepper,Flour,Frozen Shrimp,Apple,Pasta
Grapes,nan,Heavy Cream,Peaches,Flax Seeds,Nuts,Orange,Beans,Spaghetti Sauce,Peanut Butter,Ketchup
Chicken,Breadcrumbs,Mangoes,Frozen Shrimp,Jam,nan,Orange,Frozen Dinners,Corn,Vinegar,Spinach
Whipped Cream,Ice Cream,Coconut Milk,Cottage Cheese,Eggplant,Chia Seeds,Asparagus,Couscous,Mangoes,Farro,Carrot
Water,Strawberries,Beans,Heavy Cream,Kale,Apple,Tea,Canned Beans,nan,nan,Avocado
Breadcrumbs,Bell Pepper,Cantaloupe,Frozen Pizza,Honey,Frozen Dinners,Yeast,Frozen Dinners,Sugar,Dried Fruit,Canned Beans
Frozen Fruits,Mushrooms,Salsa,Heavy Cream,Soy Sauce,Chili Pepper,Sugar,Butter Milk,Hot Sauce,Frozen Shrimp,Butter Milk
Raspberries,Pancake Mix,Maple Syrup,Radishes,nan,Mangoes,Bread,Baking Powder,Soy Milk,Dried Fruit,Oats
Pepper,Pears,nan,Heavy Cream,nan,Beef,Strawberries,Brown Sugar,nan,Cauliflower,Brussels Sprouts
Baking Soda,Maple Syrup,nan,Chips,Dried Fruit,Soy Sauce,Corn,Cereal,Chia Seeds,Honeydew,Apple
Yogurt,Cheese,nan,nan,Yeast,Peaches,Mayonnaise,Butter,Soy Milk,Rice,Asparagus
Fish,Coconut Milk,Waffles,Nectarines,Pickles,Banana,Brussels Sprouts,Pineapple,Relish,Broccoli,Spaghetti Sauce
Plums,Chia Seeds,Bread,Cookies,Frozen Shrimp,Lettuce,nan,Banana,Sugar,Jam,Lime
nan,Baking Powder,Butter,Pancake Mix,Plums,Strawberries,Quinoa,Canned Tuna,Pepper,Chocolate,Juice
Pepper,Milk,Olive Oil,Plums,Avocado,Nectarines,Soda,Bread,Radishes,Bread,Soy Sauce
Milk,Eggs,nan,Frozen Pizza,nan,Hot Sauce,Sour Cream,Frozen Pizza,Hot Sauce,Butter Milk,Ketchup
Heavy Cream,Coffee,Olive Oil,Blackberries,Chili Pepper,Watermelon,Carrot,Milk,Quinoa,Frozen Fish,Cookies
Celery,Cottage Cheese,Canned Tomatoes,Nectarines,nan,Spinach,Raspberries,Water,Apple,Lentils,Soy Sauce
Spinach,Chia Seeds,Sugar,Yeast,nan,Apple,Baking Powder,Salsa,Raspberries,nan,Barley
Brussels Sprouts,Blueberries,Bell Pepper,Soy Sauce,nan,Almond Milk,Canned Tuna,Lemon,Chili Pepper,nan,Salt
Chips,Canned Tuna,Carrot,Frozen Shrimp,Canned Soup,Butter Milk,Frozen Fruits,Frozen Vegetables,Peaches,Spaghetti Sauce,Water
Coffee,Pepper,Mustard,Honeydew,Couscous,Frozen Fruits,Eggplant,Fish,Nuts,Kale,Mangoes
Relish,Waffles,Pancake Mix,Chicken,Peas,Brussels Sprouts,nan,Watermelon,Sour Cream,Pineapple,Peanut Butter
Jam,Canned Beans,nan,Frozen Fish,Canned Tomatoes,Radishes,Frozen Pizza,Peas,Yogurt,Heavy Cream,Frozen Shrimp
Vinegar,Coffee,Butter,Butter,Pears,Broccoli,Lettuce,Cheese,Chicken,Radishes,Pears
Frozen Fruits,Tomato,Ketchup,Lettuce,Chia Seeds,Eggplant,Soda,Grapes,Sugar,Beans,Sour Cream
Honeydew,Canned Tuna,Chocolate,Garlic,Canned Beans,Heavy Cream,Frozen Shrimp,Banana,Cereal,Beef,nan
nan,Honeydew,Olive Oil,Milk,Watermelon,Mayonnaise,Heavy Cream,Peanut Butter,Frozen Pizza,Raspberries,Lemon
Pancake Mix,Coffee,Pears,Olive Oil,Celery,Spaghetti Sauce,Barley,Breadcrumbs,Canned Beans,Maple Syrup,Yeast
Ketchup,Lime,Ice Cream,Plums,Canned Beans,Plums,Peanut Butter,Canned Tuna,Frozen Vegetables,Almond Milk,nan
Soda,Milk,nan,Spaghetti Sauce,Jam,Onion,Salt,Pickles,Chia Seeds,Chicken,Rice
Bread,Potato,Raspberries,Soy Sauce,nan,Frozen Vegetables,Frozen Pizza,Baking Soda,Rice,Radishes,Peanut Butter
Whipped Cream,Butter Milk,Raspberries,Cheese,Chicken,Frozen Shrimp,Frozen Fish,Mangoes,Hot Sauce,Frozen Fruits,Peanut Butter
nan,Nectarines,Broccoli,Blueberries,Whipped Cream,Canned Beans,Hot Sauce,Lemon,Frozen Fish,Oats,Nectarines
Sour Cream,Canned Tomatoes,Zucchini,Soda,Strawberries,Chocolate,Coffee,Potato,Potato,Orange,Lentils
Sour Cream,Plums,Baking Soda,Peanut Butter,Rice,Beans,Beans,Coffee,Milk,Crackers,Cookies
Bread,Olive Oil,nan,Blackberries,Lime,Nectarines,Banana,Peas,Honeydew,nan,nan
Heavy Cream,Baking Powder,Breadcrumbs,Frozen Fruits,Cottage Cheese,Sour Cream,nan,Peaches,Sour Cream,Chia Seeds,Brown Sugar
Nectarines,Brussels Sprouts,Heavy Cream,Sour Cream,Eggplant,Pineapple,Cottage Cheese,Vinegar,Relish,Chili Pepper,Nectarines
Orange,Honeydew,Coconut Milk,nan,Cookies,Juice,Garlic,Yeast,nan,nan,nan
Garlic,nan,Sugar,Powdered Sugar,Baking Powder,Blueberries,Quinoa,Heavy Cream,Pasta,Grapes,Celery
nan,Waffles,Chili Pepper,Lettuce,Milk,Bread,Lentils,Butter,Radishes,Water,Salsa
Frozen Pizza,Milk,nan,Eggs,Oats,nan,Mayonnaise,nan,Flour,Salsa,Flour
Cauliflower,Spinach,nan,Pasta,Pineapple,Honey,Cheese,Flour,Plums,nan,Baking Powder
Soda,nan,Grapes,Ice Cream,Soy Sauce,Beef,Pears,Mustard,Lemon,nan,Spinach
Sugar,Orange,Water,Cornstarch,Banana,Barley,nan,Honey,Broccoli,Bell Pepper,Bread
Cookies,Breadcrumbs,Crackers,Garlic,Salt,Asparagus,Orange,Asparagus,nan,Garlic,Cauliflower
Breadcrumbs,Coffee,Tea,Yogurt,Canned Soup,Cornstarch,Green Beans,Frozen Shrimp,Butter Milk,Kale,Dried Fruit
nan,Olive Oil,Pasta,Flax Seeds,Waffles,Corn,Eggplant,Dried Fruit,Cornstarch,Mustard,Broccoli
Vinegar,Frozen Fruits,Whipped Cream,Cookies,nan,Spaghetti Sauce,Green Beans,Spaghetti Sauce,Oats,Grapes,nan
Lemon,Honeydew,nan,Chocolate,Strawberries,Pickles,Oats,Quinoa,Couscous,Watermelon,Chia Seeds
Cantaloupe,Jam,Half and Half,Nectarines,Quinoa,Mayonnaise,Relish,Relish,Fish,Ketchup,Mayonnaise
Canned Soup,Potato,Crackers,Couscous,Chocolate,Asparagus,Coffee,Canned Tomatoes,Corn,Cantaloupe,Milk
Cornstarch,Butter Milk,Sugar,Couscous,nan,Broccoli,nan,Canned Tomatoes,Kale,Cottage Cheese,nan
Farro,Spinach,Plums,nan,Pasta,Chicken,Canned Soup,Mangoes,Sour Cream,Peas,Canned Beans
Salsa,Lettuce,Mustard,Radishes,nan,Plums,Quinoa,Ice Cream,Mustard,Brussels Sprouts,Peas
Lentils,Vinegar,Chili Pepper,Watermelon,Rice,Whipped Cream,Hot Sauce,Canned Soup,Spinach,nan,Mushrooms
Tea,Spinach,Plums,Mangoes,Blueberries,Beef,Soy Sauce,nan,Apple,Mushrooms,Frozen Dinners
nan,Pasta,nan,Avocado,nan,Cauliflower,Nectarines,nan,Chili Pepper,Ketchup,Zucchini
Pickles,Frozen Fish,Canned Tomatoes,Chia Seeds,Beans,Mangoes,Cauliflower,Eggplant,Grapes,nan,Strawberries
Watermelon,Coconut Milk,Quinoa,Nuts,nan,Beef,Cornstarch,Cereal,Pasta,Cookies,Banana
Eggplant,Tea,nan,Barley,Frozen Fruits,nan,Heavy Cream,Pears,Lettuce,Soy Milk,Vinegar
Crackers,Milk,Ice Cream,nan,nan,Pickles,Grapes,Garlic,Lettuce,Strawberries,Orange
Pancake Mix,Crackers,nan,Maple Syrup,Zucchini,Frozen Shrimp,Cauliflower,Frozen Vegetables,Chocolate,Milk,Apple
Heavy Cream,Salt,Brown Sugar,Milk,Pears,Eggs,Pepper,Canned Soup,Vinegar,Soy Sauce,Canned Tomatoes
Peaches,Heavy Cream,Pickles,nan,Avocado,Pasta,Brown Sugar,Beef,Kale,Waffles,Lettuce
Garlic,Pasta,Pepper,Butter Milk,Corn,Cookies,Lettuce,Pickles,Salsa,Kale,Eggplant
nan,Watermelon,Eggplant,Celery,Barley,Waffles,Brussels Sprouts,Baking Powder,nan,Plums,Potato
Frozen Vegetables,Pancake Mix,Asparagus,Frozen Fruits,Whipped Cream,Celery,Garlic,Banana,Soy Sauce,Flour,Peanut Butter
Tomato,Zucchini,Brown Sugar,Lemon,Butter,Pepper,Sour Cream,Mustard,Avocado,Coffee,Relish
Peanut Butter,Beef,Watermelon,Cornstarch,Zucchini,Blackberries,Beef,nan,Oats,Mayonnaise,Vinegar
Coffee,Almond Milk,Blackberries,Avocado,Yogurt,Flax Seeds,nan,Chili Pepper,Cereal,Mustard,Celery
Watermelon,Brussels Sprouts,Yeast,Cantaloupe,Garlic,Milk,Salt,Sugar,Mayonnaise,Frozen Fish,Cucumber
Nectarines,Mangoes,Corn,Pancake Mix,Potato,Yogurt,Cottage Cheese,Milk,nan,Baking Powder,Cereal
Nectarines,Juice,Blackberries,Pineapple,Lime,Maple Syrup,Spaghetti Sauce,Coffee,Beef,nan,Cauliflower
Grapes,Blueberries,Blueberries,Half and Half,Oats,Soy Milk,Nectarines,Kale,Mayonnaise,Canned Beans,Radishes
nan,Fish,Corn,nan,Chicken,Cheese,Eggplant,Brussels Sprouts,Chia Seeds,Crackers,Honey
nan,Cornstarch,Butter,Eggs,Frozen Dinners,Milk,nan,Onion,Nectarines,Chicken,Pickles
Tea,Chili Pepper,Quinoa,Frozen Shrimp,Banana,Hot Sauce,Juice,nan,Dried Fruit,Green Beans,Radishes
Cornstarch,Pears,Butter Milk,Canned Beans,Pears,Nuts,Lemon,Cucumber,nan,Canned Tomatoes,Barley
Jam,Avocado,Vinegar,Lime,Tea,Potato,Crackers,Pears,Frozen Fruits,Peanut Butter,Milk
Mushrooms,Eggplant,Broccoli,nan,Bell Pepper,Beans,Onion,Garlic,Coconut Milk,Brown Sugar,Cornstarch
Banana,Carrot,Radishes,Canned Tomatoes,Heavy Cream,Pasta,Fish,Brown Sugar,Juice,Cereal,Butter
Coffee,nan,nan,Flour,nan,Salsa,Soy Sauce,Milk,Couscous,Vinegar,nan
Flour,Pasta,Frozen Fruits,Broccoli,nan,Coffee,nan,Cookies,Oats,Tomato,Spaghetti Sauce
Lemon,Blackberries,Yeast,Milk,Eggplant,nan,Almond Milk,Butter,Broccoli,Coconut Milk,Canned Tomatoes
Spinach,Celery,Lime,Lentils,Juice,Water,Canned Tuna,Cottage Cheese,Maple Syrup,Avocado,Salt
Half and Half,Farro,Frozen Fruits,Tomato,nan,Olive Oil,Tomato,Pears,Orange,Orange,Ketchup
Canned Soup,Bread,Cantaloupe,Milk,Spaghetti Sauce,Pickles,Frozen Vegetables,Milk,Cottage Cheese,Cookies,nan
Couscous,Crackers,Relish,nan,Half and Half,Pepper,Maple Syrup,Rice,Mangoes,Canned Beans,Soy Milk
Broccoli,Sour Cream,Frozen Shrimp,nan,Ice Cream,nan,Rice,Blackberries,Kale,Brussels Sprouts,Frozen Pizza
Blackberries,Baking Powder,Honeydew,Waffles,Canned Tuna,Frozen Shrimp,Flour,Water,Bell Pepper,nan,Olive Oil
Raspberries,Watermelon,Whipped Cream,Pasta,Dried Fruit,nan,Bell Pepper,Frozen Dinners,Heavy Cream,nan,Asparagus
Cottage Cheese,Banana,Peanut Butter,Honey,Baking Powder,nan,nan,Peanut Butter,Baking Soda,Brussels Sprouts,Bread
Mangoes,Cereal,Juice,Salsa,nan,Canned Tomatoes,Quinoa,Grapes,Ice Cream,Quinoa,Orange
Onion,Cauliflower,Zucchini,Milk,Blackberries,Lemon,Frozen Fruits,Cottage Cheese,Dried Fruit,Mustard,Baking Powder
Honey,Juice,Cauliflower,nan,Pepper,Pineapple,Heavy Cream,Milk,Canned Tomatoes,nan,Blackberries
Nectarines,Soy Sauce,Cantaloupe,Couscous,Cucumber,Bread,Relish,Chips,Brussels Sprouts,Quinoa,Mangoes
Sugar,Soy Sauce,Farro,Cookies,Chocolate,Frozen Fruits,Flax Seeds,Brussels Sprouts,Ketchup,Butter Milk,Canned Soup
Couscous,Pears,Pepper,Canned Beans,Baking Soda,Spinach,Peas,nan,Frozen Dinners,Olive Oil,Mustard
Cheese,Ice Cream,Pickles,Butter,Yogurt,Corn,Plums,Eggs,nan,Lettuce,Bread
Cantaloupe,Frozen Vegetables,Mangoes,nan,Apple,Ketchup,Cauliflower,Yogurt,Asparagus,Beef,Soy Sauce
nan,Jam,Cucumber,Barley,Whipped Cream,Peanut Butter,Peas,Yogurt,Baking Powder,Frozen Fish,Carrot
Milk,Eggs,Lentils,Canned Tomatoes,Baking Soda,Baking Soda,Whipped Cream,Frozen Shrimp,Farro,Spinach,Frozen Vegetables
Powdered Sugar,Salt,Blackberries,Blueberries,Whipped Cream,Canned Tomatoes,Chicken,Baking Soda,Chili Pepper,Vinegar,Cauliflower
Pepper,Relish,Olive Oil,Bell Pepper,nan,Ice Cream,Oats,Yogurt,Carrot,Onion,Beef
Broccoli,Beef,Jam,Eggplant,Pineapple,Lemon,Cornstarch,Yogurt,Ketchup,Butter Milk,Frozen Vegetables
Baking Soda,Bread,Honey,Half and Half,Tomato,Crackers,Cookies,Spaghetti Sauce,Onion,Rice,Eggs
nan,Butter Milk,Mustard,Sour Cream,Soy Milk,Cheese,Green Beans,Mushrooms,Cucumber,Lime,nan
nan,Flax Seeds,Cantaloupe,Mayonnaise,Brussels Sprouts,nan,Canned Tomatoes,Cantaloupe,Plums,Eggplant,Peaches
Plums,Baking Soda,Frozen Dinners,Canned Tomatoes,Barley,Mushrooms,Canned Beans,Quinoa,Broccoli,Cereal,Breadcrumbs
Coffee,Plums,Soy Milk,Pears,Mangoes,Peas,Nuts,Cookies,Coconut Milk,Broccoli,Rice
Tea,Canned Soup,Banana,Broccoli,Lime,Mustard,Beef,Mayonnaise,Mayonnaise,Cornstarch,Strawberries
Waffles,nan,Eggplant,Celery,nan,Butter,Baking Soda,Chicken,Heavy Cream,Butter Milk,Beans
Soy Sauce,Spaghetti Sauce,Tea,Strawberries,Blackberries,Yogurt,Carrot,nan,Canned Beans,nan,Potato
Lentils,Frozen Fish,Mushrooms,Butter Milk,Powdered Sugar,Lentils,Dried Fruit,Kale,Eggplant,Brussels Sprouts,Hot Sauce
Butter,Avocado,Peas,Beef,nan,Celery,Juice,Banana,Juice,Milk,Cheese
Canned Soup,nan,Honey,Honeydew,nan,Rice,Plums,Cheese,Frozen Fruits,Pineapple,Soy Sauce
Honey,nan,Coffee,Powdered Sugar,Asparagus,Coconut Milk,Rice,Pickles,Powdered Sugar,Canned Beans,Yogurt
nan,Salt,Barley,Cornstarch,Nuts,Yogurt,Flax Seeds,Pepper,nan,Apple,Tomato
Maple Syrup,Beef,Canned Beans,Ketchup,Butter,Watermelon,Waffles,Corn,Farro,Bread,Crackers
Celery,Garlic,Strawberries,Spinach,Frozen Fish,Tea,Cauliflower,Baking Soda,Cantaloupe,Frozen Dinners,Chia Seeds
nan,Water,Raspberries,Celery,Powdered Sugar,Grapes,Canned Tomatoes,Spinach,Chili Pepper,Peaches,Rice
Sugar,Half and Half,nan,Honey,Strawberries,Peaches,Avocado,Mustard,Quinoa,Barley,Butter Milk
Corn,Lime,Hot Sauce,Onion,Green Beans,Powdered Sugar,nan,Onion,Oats,nan,Watermelon
Cantaloupe,Tea,Broccoli,Plums,Cheese,Honey,nan,Soy Milk,Maple Syrup,nan,Lettuce
Peanut Butter,Cauliflower,Radishes,Chips,Tea,Canned Tomatoes,Fish,Blueberries,Chicken,Juice,Frozen Shrimp
Sour Cream,nan,Blueberries,nan,Banana,Tea,Soy Milk,Mangoes,Lettuce,nan,Avocado
Relish,Orange,Relish,Orange,Cucumber,Olive Oil,Whipped Cream,Maple Syrup,Raspberries,Fish,nan
Banana,Chili Pepper,Spinach,nan,Zucchini,Pineapple,nan,Canned Tuna,Pepper,nan,Bread
Onion,Avocado,Butter,Grapes,nan,Mushrooms,Butter Milk,Blueberries,Watermelon,Apple,Frozen Pizza
Banana,Chocolate,Dried Fruit,Onion,Pears,Zucchini,Baking Powder,nan,Pasta,Jam,Breadcrumbs
Peas,Lettuce,nan,Mustard,Tomato,Cornstarch,Brown Sugar,nan,Mayonnaise,Mushrooms,nan
nan,Zucchini,Blueberries,Oats,Whipped Cream,nan,Canned Tuna,Maple Syrup,Relish,Cucumber,Cookies
Barley,Honey,Bread,Milk,Beef,Hot Sauce,Lemon,Ketchup,Cottage Cheese,Quinoa,Plums
Whipped Cream,Beans,nan,Cereal,Peanut Butter,nan,Mushrooms,Peaches,Pickles,Broccoli,Lentils
Plums,Lemon,Frozen Shrimp,Rice,Sour Cream,Powdered Sugar,nan,nan,nan,Olive Oil,nan
Chili Pepper,Milk,Watermelon,Butter,Eggplant,Cauliflower,nan,Couscous,Sugar,Green Beans,nan
Bread,Ketchup,Frozen Fish,Radishes,Chia Seeds,Sugar,Yogurt,Canned Tomatoes,Lettuce,Mayonnaise,Soda
Baking Soda,Honey,Bell Pepper,Lettuce,Canned Tomatoes,Vinegar,nan,Frozen Pizza,Avocado,Baking Powder,nan
Orange,Apple,Frozen Pizza,Jam,Maple Syrup,Peanut Butter,Potato,Rice,nan,Apple,Pepper
Canned Tuna,Maple Syrup,Tomato,Yogurt,Green Beans,Flour,Flax Seeds,Apple,Mangoes,Cantaloupe,Raspberries
Frozen Fruits,Olive Oil,nan,Baking Powder,Heavy Cream,Grapes,Strawberries,Salt,Pears,Zucchini,Plums
Yogurt,Rice,Zucchini,Flax Seeds,Yogurt,nan,Green Beans,Water,Vinegar,Mustard,Frozen Vegetables
Flour,Broccoli,Frozen Dinners,Brussels Sprouts,Frozen Fruits,Whipped Cream,Baking Soda,Cantaloupe,Ice Cream,Water,Sour Cream
Waffles,Green Beans,Broccoli,Frozen Fish,Waffles,Beans,Baking Soda,Soy Milk,Frozen Fish,Almond Milk,Brown Sugar
Sour Cream,Soy Sauce,Spinach,Powdered Sugar,Honeydew,Powdered Sugar,nan,Butter Milk,Relish,Raspberries,Breadcrumbs
Bread,Peas,Maple Syrup,Pears,Tea,Green Beans,Canned Soup,Apple,Pears,nan,Barley
Brussels Sprouts,Chicken,Baking Soda,Peaches,Flax Seeds,Onion,Canned Soup,Eggplant,Fish,Mushrooms,Peanut Butter
Chips,Breadcrumbs,Canned Beans,Baking Powder,Lemon,Juice,Corn,Canned Tuna,Lentils,Spaghetti Sauce,Cereal
Cantaloupe,Pickles,Honey,Barley,Lemon,Eggs,nan,Couscous,Flour,nan,Zucchini
Butter,Celery,Pineapple,Baking Powder,Barley,Lemon,Soy Milk,Nuts,Breadcrumbs,Honeydew,Butter Milk
Apple,Cauliflower,Butter Milk,Cauliflower,Soy Sauce,Cereal,Orange,Crackers,Pears,Cucumber,Corn
Butter Milk,Zucchini,Maple Syrup,Lettuce,Flax Seeds,nan,Cantaloupe,Water,Pickles,Spaghetti Sauce,Cauliflower
Canned Tuna,Canned Soup,Jam,nan,Beans,Chia Seeds,Relish,Strawberries,Garlic,Frozen Fish,Powdered Sugar
Salt,Canned Beans,Beans,nan,Olive Oil,Pasta,Dried Fruit,Asparagus,Waffles,Couscous,Pineapple
Powdered Sugar,Strawberries,Soda,Raspberries,Lemon,Lettuce,Lettuce,Asparagus,Farro,Barley,Lime
Ketchup,Baking Powder,Chicken,nan,Lentils,Blueberries,Frozen Dinners,Mushrooms,nan,Vinegar,Corn
nan,Heavy Cream,Chips,Chocolate,Celery,Crackers,Ketchup,Eggs,Quinoa,Canned Beans,Bell Pepper
nan,Vinegar,Farro,Sugar,Watermelon,Canned Soup,Nectarines,Cantaloupe,Zucchini,Almond Milk,Mayonnaise
Quinoa,Canned Tuna,Blueberries,Fish,Grapes,Grapes,Pancake Mix,Apple,Coconut Milk,Honey,Cottage Cheese
Powdered Sugar,Hot Sauce,Cereal,Barley,Chia Seeds,Baking Soda,Salsa,Mushrooms,Garlic,Canned Tomatoes,Strawberries
Grapes,Frozen Vegetables,Apple,Waffles,Eggplant,nan,Garlic,Honey,Kale,Nectarines,Beef
Vinegar,Dried Fruit,Cauliflower,Orange,Frozen Shrimp,Butter,nan,Cauliflower,Radishes,Apple,Flax Seeds
Relish,Asparagus,nan,Honey,Butter Milk,Butter Milk,Chia Seeds,nan,Brown Sugar,Orange,Cantaloupe
Pancake Mix,Lettuce,Grapes,Mayonnaise,Pickles,Coconut Milk,Nectarines,Canned Soup,Beans,Peanut Butter,Canned Beans
nan,Crackers,Raspberries,Corn,Soy Milk,Fish,Almond Milk,Strawberries,Beans,Strawberries,Cottage Cheese
nan,Cornstarch,nan,Heavy Cream,Beans,Flax Seeds,Nuts,nan,Chocolate,Olive Oil,Cornstarch
Baking Soda,Vinegar,Canned Tomatoes,Canned Soup,Beans,Strawberries,Strawberries,Beans,Frozen Dinners,Frozen Fruits,Grapes
Sour Cream,Salt,nan,Nectarines,Celery,Rice,nan,nan,Beef,Canned Soup,Yeast
Oats,Frozen Fish,Banana,Vinegar,Bell Pepper,Canned Soup,Lettuce,Soy Sauce,Cereal,Soda,Broccoli
Mustard,nan,Radishes,Cottage Cheese,nan,Celery,Cookies,Maple Syrup,Honey,Half and Half,Whipped Cream
Heavy Cream,Cucumber,Chicken,Potato,Cheese,Beans,nan,Bread,Frozen Pizza,Yeast,Strawberries
Canned Tomatoes,Heavy Cream,Beef,Asparagus,Beef,Chips,Radishes,Frozen Fish,Potato,Frozen Pizza,Corn
Bread,nan,Celery,Rice,Lime,Canned Beans,Breadcrumbs,Lentils,Baking Soda,Coffee,Baking Powder
Carrot,Watermelon,Maple Syrup,Lemon,Peaches,Water,Heavy Cream,Kale,Olive Oil,Frozen Pizza,Cereal
Mustard,nan,Pickles,Zucchini,nan,Relish,Tea,Honeydew,Chocolate,Frozen Vegetables,Flour
Honey,Half and Half,Frozen Fruits,nan,Coconut Milk,Half and Half,Bell Pepper,Oats,Pancake Mix,Grapes,nan
Tea,Mayonnaise,nan,Bread,Flour,Celery,Butter,Bread,Hot Sauce,Jam,Canned Tomatoes
Watermelon,Avocado,nan,Butter,Potato,Cereal,Honeydew,Peanut Butter,Cornstarch,Peas,Ice Cream
